,uic,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
1127,87671362,65270,1484,1608,345,303,97,104
1128,87342337,62130,213538,193538,165659,172970,84539,105085
1129,87296004,2100,1131841,1165507,1082819,1092523,774203,976291
1130,87313288,60130,206,311,92,170,89,96
1131,87721456,69490,21300,20927,17105,20021,11245,13970
1132,87575365,86400,36575,34869,28325,33056,23456,29328
1133,87592493,23160,4985,4868,4003,4365,2321,2989
1134,87313684,60430,152116,149678,134502,131544,92438,106254
1135,87734715,43800,10825,6262,8591,11474,6339,11590
1136,87592824,87500,27333,26933,19712,25400,12447,21986
1137,87753764,13300,210354,224561,213132,251198,157387,216918
1138,87784157,66600,11846,14103,12473,17568,15374,27822
1139,87192229,57530,8998,9066,9595,9866,7413,8214
1140,87734152,63800,32533,37747,31825,39848,22334,26160
1141,87215012,57400,716037,728487,687339,715228,495281,620016
1142,87193615,57200,412311,418901,386649,383857,321471,377766
1143,87491811,17600,59261,55241,43071,52649,29426,41592
1144,87487603,49400,692282,705455,647395,721620,459355,609788
1145,87682187,77176,4232841,4281204,4247062,4226403,2133225,2873678
1146,87214205,67750,7292,5330,4055,6138,4409,7455
1147,87214692,67130,315384,316987,293816,298030,269442,304365
1148,87576140,41300,16410,14086,14876,19628,18899,19968
1149,87212431,67470,42966,44815,43068,47482,34485,38509
1150,87753715,13560,20299,20981,24934,30374,20405,30929
1151,87722546,69360,174284,183926,185677,226973,150951,180976
1152,87212365,67770,87873,87386,87444,84660,58277,69387
1153,87745828,1420,57460,66355,49537,65164,37709,51029
1154,87191635,57480,3271,2232,1853,2189,1760,2528
1155,87751206,4200,59203,65174,50051,45132,21755,32898
1156,87411462,76440,3687,3868,2477,2678,2099,3565
1157,87765206,84700,149613,214309,163541,177236,100017,151007
1158,87213421,67250,178746,191259,183462,181588,137292,169519
1159,87212209,67790,75710,67964,62493,61815,62913,47457
1160,87590828,44240,211592,215005,210510,195057,103295,121972
1161,87382374,92150,2544442,2847025,3120349,3463282,1546667,2601776
1162,87491043,17350,563,453,368,663,None,None
1163,87765354,13150,213085,226304,196663,213447,113552,184601
1164,87276634,95150,1578665,1616718,1641770,1602736,714243,1429505
1165,87615245,81600,3946,4217,3185,2846,2381,4080
1166,87543199,41300,19187,15058,12958,13704,10604,16028
1167,87713099,21150,6434,5167,5561,5014,3006,2697
1168,87328195,41140,5421,4384,3370,5585,5126,4458
1169,87745646,74200,479575,503268,411424,454026,325977,464183
1170,87276741,60150,50880,53099,43935,45937,29235,37603
1171,87784751,66360,2481,1931,2042,2100,1984,3196
1172,87381822,78250,348143,366370,377907,391728,198768,432673
1173,87484147,49125,145238,145093,144381,122747,54071,67778
1174,87485151,17430,11577,13460,11928,15321,12983,19631
1175,87713198,89700,128762,137259,127065,134669,85735,106308
1176,87286542,59200,840616,1048189,731606,610714,425537,534310
1177,87783456,12250,542,499,482,937,343,714
1178,87571000,37000,4641092,4876333,4690784,4962177,3152214,4377052
1179,87696161,58150,11329,12679,10480,11580,7910,11141
1180,87322347,22860,233,203,111,178,93,131
1181,87473819,22200,1209,828,703,813,559,747
1182,87444372,14200,734865,775823,666054,819956,493350,650092
1183,87182352,68230,49115,49480,40872,47400,28530,28166
1184,87775106,30620,1804,1729,1813,1696,2249,4858
1185,87576348,18200,4913,5286,4200,3024,1943,925
1186,87594200,19140,81930,82453,66798,69918,43161,56268
1187,87761007,26000,2051764,2094614,1809507,2143873,1359903,1783419
1188,87343004,59300,3069595,3244888,3080883,3320918,2034249,2278287
1189,87192732,54910,7290,6264,5797,7166,3707,4073
1190,87641357,3190,31586,32852,28753,26669,21357,23694
1191,87746727,74310,53,47,53,51,77,150
1192,87271601,2600,892,886,609,961,2191,3422
1193,87775817,30600,1634,2149,2447,3329,13909,30828
1194,87584714,33870,19040,23578,32246,46569,32356,44823
1195,87584177,24230,48680,50005,46346,30900,32254,48189
1196,87118257,10140,36815,38538,38423,44126,31182,35792
1197,87723320,69200,179328,173281,159707,185295,113683,141306
1198,87382861,78000,5327810,5562438,5705373,5855418,2039014,4698156
1199,87296129,2140,59760,57553,45483,39575,40255,48176
1200,87615138,11250,903,356,109,189,221,532
1201,87763300,5400,88367,93145,78109,77042,39723,64411
1202,87141606,54330,16887,10559,6844,4113,3218,2646
1203,87597633,23210,2749,2819,2504,3417,1677,1403
1204,87576009,18100,856521,865479,794124,871397,583117,816219
1205,87576090,18100,1812,1533,1138,1940,1644,2773
1206,87681304,91270,6625906,6647451,6554135,6458442,3080249,4745315
1207,87775197,48800,9444,10287,9878,11344,8837,12875
1208,87673616,64990,26,39,12,14,360,771
1209,87681809,94190,1472868,1439542,1381636,1322503,450589,1065829
1210,87683102,89340,130287,129110,109228,155131,117425,137470
1211,87545277,94290,1637092,1635284,1602239,1576299,803594,1091400
1212,87683219,89500,45945,46191,41845,53213,34580,46759
1213,87444398,14640,6601,6951,5775,6889,3706,4892
1214,87697318,93430,None,950582,1872981,1840999,675432,3126857
1215,87113795,94350,8426955,8434061,8276068,8146119,3664906,5653263
1216,87297051,2300,549,278,390,280,195,427
1217,87725820,1540,93865,93489,94344,91327,85383,101754
1218,87182360,68230,5271,6960,5720,5326,3027,3636
1219,87345595,59400,50,116,78,4,2,None
1220,87192088,57140,100227,117181,120464,139362,79458,97259
1221,87144121,88220,1350,978,1036,1185,871,916
1222,87141549,54990,4546,3770,1418,1154,270,None
1223,87317362,80100,727081,750298,710325,757362,505759,650701
1224,87316745,80560,308,104,235,2,None,None
1225,87751404,13100,998093,1106279,769147,542347,189752,276414
1226,87113878,93320,683635,673383,651602,630008,940572,687434
1227,87731885,43580,598,812,1013,1310,949,1447
1228,87172858,8500,5123,6235,6979,7376,5694,5985
1229,87715102,39320,9288,6806,4050,5782,4698,9982
1230,87286856,59650,641,811,1285,1638,882,1388
1231,87746008,74000,2216925,2390892,2209179,2334077,1562888,2127405
1232,87721324,69480,365763,397242,397142,444151,284335,343949
1233,87191387,57320,657,744,1191,1591,1560,1789
1234,87191643,57480,1059,1105,1164,907,369,294
1235,87784231,66700,106538,126203,103492,117724,86560,124292
1236,87746859,74400,15678,13277,15238,14463,12408,12758
1237,87345421,59151,47584,45719,39776,39865,22092,23159
1238,87396549,72230,15575,17688,14550,12703,7963,8831
1239,87672162,64510,461,168,151,273,559,586
1240,87613075,46320,10561,9895,7528,8883,7173,10281
1241,87545251,91200,1660228,1687816,1680397,1684717,570450,1064434
1242,87751750,13400,841969,971737,935040,958241,634307,844535
1243,87734111,63260,4849,6420,7945,8809,5053,5672
1244,87342246,62690,60607,58250,48982,50207,39296,21048
1245,87645002,15000,143170,154733,136951,120175,81046,115900
1246,87171579,51160,21039,15908,12786,18793,17236,22380
1247,87574442,37270,13090,13521,13004,13599,8865,13552
1248,87590349,44240,107295,114818,93097,65168,34528,32561
1249,87141416,54120,134114,129480,116842,128406,86853,101089
1250,87144147,88240,3918,3047,2384,2801,1965,1788
1251,87726869,42510,105225,96801,77780,83759,58218,71325
1252,87571604,37510,33804,36096,38016,44366,28881,25746
1253,87783324,48500,4094,4045,3646,3164,2556,3286
1254,87411264,76360,254756,238655,222939,238127,169387,184673
1255,87297291,2000,10665,11174,8608,6141,6211,9498
1256,87783563,48000,23,24,16,76,109,55
1257,87192658,55240,8703,9225,7517,9000,5756,8374
1258,87214247,67140,290643,298416,289868,302765,214461,259665
1259,87191601,57110,632,642,523,646,14,18
1260,87581850,33530,13262,18450,24017,39149,23363,38136
1261,87485342,79360,24094,24545,24235,26170,25176,29514
1262,87765198,84370,20850,26959,20795,20446,9782,13476
1263,87592485,87300,36090,34347,23075,26216,16307,24849
1264,87486142,85170,58233,67909,73772,85566,57289,71832
1265,87743526,1810,7693,7183,5208,5373,3355,3683
1266,87193250,57800,119276,126267,108518,130046,77404,109573
1267,87300863,25870,682900,712656,641643,657453,349723,501306
1268,87471219,44290,20650,22423,24110,28946,15975,22049
1269,87342006,62400,1775966,1844883,1744515,1838636,1134785,1275459
1270,87214296,67830,122510,122728,122565,133047,92984,102113
1271,87213611,67240,541035,578058,597882,656797,495341,601949
1272,87313809,76340,31099,28546,22833,21218,29382,31720
1273,87444380,14910,1978,2020,1927,2404,1398,1864
1274,87381152,95650,251490,239132,221223,207727,88484,237004
1275,87413351,76210,7726,7403,6070,3280,None,None
1276,87764357,84500,129801,136888,115731,134248,87212,138486
1277,87415893,78270,749898,713057,665715,636589,278424,619227
1278,87673095,64340,5767,6094,6848,8764,5206,9876
1279,87775346,30190,1396,1224,1768,1745,3772,6038
1280,87276485,95570,1000990,1036366,1078777,1064575,427733,981994
1281,87317586,62200,858187,857777,784536,830447,568031,741122
1282,87214775,67420,8146,8579,7918,7947,8323,7693
1283,87576207,18000,880015,915112,843252,980131,615575,829220
1284,87784876,66760,5349,4874,4557,4528,2767,2974
1285,87415323,27520,2347,1717,1534,2424,5189,8528
1286,87611095,31360,174130,206713,167352,190457,124996,164836
1287,87313213,80440,16521,14182,16049,18323,10945,13791
1288,87476242,56700,1601,2015,3550,8446,7003,6799
1289,87345108,62117,79737,81110,81038,86470,66521,70529
1290,87756833,6540,57215,71707,60658,70196,32917,27475
1291,87471102,35160,86106,80861,78865,87850,59860,57397
1292,87171322,51140,13118,13838,13976,19333,22209,25289
1293,87545483,91650,520688,525645,518454,515602,257008,457908
1294,87696088,45250,45392,48170,43985,47148,30194,43963
1295,87747451,38190,235496,259862,235085,273904,165206,197923
1296,87144154,88600,64305,68352,68676,50987,42714,58855
1297,87471037,35170,108094,120054,130109,166368,119298,145999
1298,87296244,59137,50415,55333,49018,56535,44422,56192
1299,87756320,6800,1022116,1264538,1180596,1343669,747076,916468
1300,87345520,59400,657910,687678,627458,697594,464567,528658
1301,87611665,31620,223630,235142,201012,229548,208341,264320
1302,87615468,81100,174902,179620,125499,130131,90303,117058
